actual,predicted,count,model
0,0,36,model3d
1,0,2,model3d
2,0,2,model3d
3,0,1,model3d
4,0,1,model3d
5,0,1,model3d
6,0,3,model3d
7,0,0,model3d
8,0,1,model3d
9,0,0,model3d
0,1,3,model3d
1,1,41,model3d
2,1,3,model3d
3,1,1,model3d
4,1,4,model3d
5,1,2,model3d
6,1,2,model3d
7,1,0,model3d
8,1,0,model3d
9,1,0,model3d
0,2,2,model3d
1,2,0,model3d
2,2,33,model3d
3,2,1,model3d
4,2,0,model3d
5,2,2,model3d
6,2,0,model3d
7,2,2,model3d
8,2,2,model3d
9,2,2,model3d
0,3,1,model3d
1,3,0,model3d
2,3,6,model3d
3,3,39,model3d
4,3,4,model3d
5,3,4,model3d
6,3,0,model3d
7,3,0,model3d
8,3,1,model3d
9,3,0,model3d
0,4,2,model3d
1,4,1,model3d
2,4,1,model3d
3,4,0,model3d
4,4,27,model3d
5,4,2,model3d
6,4,1,model3d
7,4,1,model3d
8,4,1,model3d
9,4,1,model3d
0,5,2,model3d
1,5,2,model3d
2,5,1,model3d
3,5,5,model3d
4,5,8,model3d
5,5,32,model3d
6,5,0,model3d
7,5,1,model3d
8,5,1,model3d
9,5,0,model3d
0,6,2,model3d
1,6,0,model3d
2,6,2,model3d
3,6,2,model3d
4,6,3,model3d
5,6,2,model3d
6,6,42,model3d
7,6,0,model3d
8,6,0,model3d
9,6,2,model3d
0,7,1,model3d
1,7,3,model3d
2,7,0,model3d
3,7,1,model3d
4,7,2,model3d
5,7,1,model3d
6,7,0,model3d
7,7,44,model3d
8,7,2,model3d
9,7,2,model3d
0,8,0,model3d
1,8,1,model3d
2,8,2,model3d
3,8,0,model3d
4,8,1,model3d
5,8,2,model3d
6,8,1,model3d
7,8,0,model3d
8,8,42,model3d
9,8,0,model3d
0,9,1,model3d
1,9,0,model3d
2,9,0,model3d
3,9,0,model3d
4,9,0,model3d
5,9,2,model3d
6,9,1,model3d
7,9,2,model3d
8,9,0,model3d
9,9,43,model3d
