inference_time,model
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
0.0100393146276474,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
4.272162914276123e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.728270530700684e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.5524368286132806e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.750622272491455e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
3.218650817871094e-05,model2d
