class,precision,recall,f1,model
0,0.6590909090909091,0.58,0.6170212765957447,model2d
1,0.352112676056338,1.0,0.5208333333333334,model2d
2,0.6,0.24,0.34285714285714286,model2d
3,0.7142857142857143,0.4,0.5128205128205128,model2d
4,0.6521739130434783,0.3,0.410958904109589,model2d
5,0.45454545454545453,0.5,0.47619047619047616,model2d
6,0.5735294117647058,0.78,0.6610169491525424,model2d
7,0.6666666666666666,0.44,0.5301204819277109,model2d
8,1.0,0.36,0.5294117647058824,model2d
9,0.5942028985507246,0.82,0.6890756302521008,model2d
0,0.7659574468085106,0.72,0.7422680412371134,model3d
1,0.7321428571428571,0.82,0.7735849056603774,model3d
2,0.75,0.66,0.7021276595744681,model3d
3,0.7090909090909091,0.78,0.7428571428571429,model3d
4,0.7297297297297297,0.54,0.6206896551724138,model3d
5,0.6153846153846154,0.64,0.6274509803921569,model3d
6,0.7636363636363637,0.84,0.8,model3d
7,0.7857142857142857,0.88,0.8301886792452831,model3d
8,0.8571428571428571,0.84,0.8484848484848485,model3d
9,0.8775510204081632,0.86,0.8686868686868687,model3d
