actual,predicted,count,model
0,0,29,model2d
1,0,0,model2d
2,0,2,model2d
3,0,6,model2d
4,0,4,model2d
5,0,2,model2d
6,0,0,model2d
7,0,0,model2d
8,0,1,model2d
9,0,0,model2d
0,1,15,model2d
1,1,50,model2d
2,1,15,model2d
3,1,9,model2d
4,1,9,model2d
5,1,8,model2d
6,1,6,model2d
7,1,18,model2d
8,1,5,model2d
9,1,7,model2d
0,2,1,model2d
1,2,0,model2d
2,2,12,model2d
3,2,1,model2d
4,2,0,model2d
5,2,2,model2d
6,2,1,model2d
7,2,1,model2d
8,2,1,model2d
9,2,1,model2d
0,3,1,model2d
1,3,0,model2d
2,3,2,model2d
3,3,20,model2d
4,3,0,model2d
5,3,1,model2d
6,3,0,model2d
7,3,2,model2d
8,3,2,model2d
9,3,0,model2d
0,4,0,model2d
1,4,0,model2d
2,4,1,model2d
3,4,2,model2d
4,4,15,model2d
5,4,1,model2d
6,4,0,model2d
7,4,1,model2d
8,4,3,model2d
9,4,0,model2d
0,5,2,model2d
1,5,0,model2d
2,5,6,model2d
3,5,1,model2d
4,5,10,model2d
5,5,25,model2d
6,5,3,model2d
7,5,0,model2d
8,5,8,model2d
9,5,0,model2d
0,6,1,model2d
1,6,0,model2d
2,6,10,model2d
3,6,2,model2d
4,6,5,model2d
5,6,5,model2d
6,6,39,model2d
7,6,3,model2d
8,6,3,model2d
9,6,0,model2d
0,7,1,model2d
1,7,0,model2d
2,7,0,model2d
3,7,1,model2d
4,7,0,model2d
5,7,3,model2d
6,7,0,model2d
7,7,22,model2d
8,7,5,model2d
9,7,1,model2d
0,8,0,model2d
1,8,0,model2d
2,8,0,model2d
3,8,0,model2d
4,8,0,model2d
5,8,0,model2d
6,8,0,model2d
7,8,0,model2d
8,8,18,model2d
9,8,0,model2d
0,9,0,model2d
1,9,0,model2d
2,9,2,model2d
3,9,8,model2d
4,9,7,model2d
5,9,3,model2d
6,9,1,model2d
7,9,3,model2d
8,9,4,model2d
9,9,41,model2d
