inference_time,model
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
0.014649733901023865,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
4.8026442527771e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
2.9712915420532223e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
4.100799560546875e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
2.9549002647399902e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
4.443526268005371e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.3155083656311035e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
3.0398368835449215e-05,model3d
